episode,investor_return,fair_1_return,max_1_return,rnd_1_return
280,2553.3,2193.0,382.2,2947.5
281,2187.1,2238.0,527.4,3271.5
282,2217.45,2537.25,508.05,2891.25
283,1984.15,2908.5,316.35,2847.0
284,1543.35,2750.25,545.4,3261.0
285,2381.65,2321.25,449.85,2993.25
286,2400.15,2244.75,563.1,2688.0
287,1946.4,2176.2,528.15,3161.25
288,2334.5,2541.0,300.0,2872.5
289,2909.85,2018.25,402.9,2859.0
290,3381.5,1304.25,484.5,2943.75
291,3156.75,1895.25,1021.5,2536.5
292,3007.95,1922.25,597.3,2542.5
293,2899.4,1791.75,584.1,2538.75
294,2660.95,2082.75,711.3,2745.0
295,3018.1,2115.75,312.15,2640.0
296,2726.65,1940.25,511.35,3105.75
297,3334.65,1860.0,625.35,2538.0
298,2475.9,2294.25,477.6,2876.25
299,1489.5,2925.0,476.25,2747.25
300,762.75,3492.45,382.8,2760.0
301,2284.6,2134.5,726.15,2832.75
302,1334.75,2805.0,426.0,3302.25
303,2016.35,2353.5,477.9,3296.25
304,2256.55,1794.75,370.95,2583.75
305,2660.35,1911.0,402.15,2428.5
306,3085.0,1950.0,259.5,2881.5
307,2515.85,2021.25,525.15,3063.75
308,2936.4,1599.0,391.35,2267.25
309,2792.15,1830.0,442.35,3061.5
310,2651.15,1903.5,329.85,3097.5
311,2472.3,2031.0,392.7,3180.0
312,2567.1,2154.0,363.9,2985.0
313,2602.5,2007.0,403.5,2979.0
314,3429.45,1515.0,452.55,2595.0
315,3260.85,1623.0,721.65,2626.5
316,2987.6,1654.5,565.65,3056.25
317,3257.6,1520.25,387.9,2996.25
318,2756.95,1877.25,437.55,3098.25
319,2544.15,2137.5,495.6,3048.75
320,2924.35,1908.75,338.4,2932.5
321,3124.6,1571.25,336.9,3131.25
322,2893.85,1820.25,376.65,3011.25
323,2210.85,1834.5,490.65,3036.0
324,2628.7,2188.5,369.3,2941.5
325,2949.75,2277.0,326.25,2655.0
326,3189.35,1875.0,466.65,2715.0
327,3180.8,1850.25,522.45,2728.5
328,2810.3,1757.25,516.45,3180.0
329,2747.0,1888.95,300.3,3123.75
330,3025.4,1966.5,408.6,2713.5
331,2730.5,2094.75,483.0,2793.75
332,2423.35,2195.25,510.15,3131.25
333,2915.4,1713.0,527.85,3123.75
334,3059.6,1527.0,320.4,3165.0
335,2917.55,1839.0,458.7,2964.75
336,2543.0,1993.2,388.8,3153.0
337,2419.95,2040.0,361.05,3075.0
338,2865.6,1914.0,376.65,2745.75
339,2118.6,2139.75,1371.9,3093.75
340,2472.15,2076.75,1447.35,2793.75
341,2503.0,2157.75,371.25,3018.0
342,2736.35,1851.75,374.4,2707.5
343,2954.6,1864.5,480.15,2958.75
344,3203.65,2068.5,280.35,2527.5
345,2433.4,1951.5,254.85,2780.25
346,2749.7,2150.25,211.8,2870.25
347,2621.5,2118.0,327.0,3097.5
348,2951.65,1845.75,840.6,2832.0
349,2700.25,1929.75,535.5,3046.5
350,2318.4,2232.75,1547.1,2853.75
351,2721.25,1935.0,362.25,3115.5
352,2943.25,1986.75,484.5,2887.5
353,2963.85,2004.75,278.4,2805.0
354,3279.45,2016.0,445.05,2407.5
355,2545.6,2090.25,295.65,3202.5
356,2270.0,2340.0,1014.0,3000.0
357,2622.15,2013.75,686.85,3065.25
358,3009.75,1808.25,478.5,2299.5
359,2755.65,1660.5,338.1,3303.75
360,2798.8,1670.25,381.45,3307.5
361,2669.5,1748.25,1062.0,2972.25
362,2743.05,1974.0,350.7,3092.25
363,2884.95,2055.0,389.55,2812.5
364,2737.35,1785.75,633.9,3225.0
365,3156.7,1781.25,295.05,2985.0
366,2912.05,1953.75,312.45,2949.75
367,3422.55,1711.5,256.95,2715.0
368,3338.85,1378.5,1060.65,2790.0
369,3607.15,1169.25,377.1,2926.5
370,3855.7,1100.25,403.8,2756.25
371,3004.45,1643.25,338.55,3123.75
372,3366.55,1665.0,389.7,2766.75
373,1735.75,2796.0,544.5,3255.75
374,1392.6,2268.0,1245.15,2576.25
375,2572.8,1848.75,787.95,3046.5
376,2500.2,1849.5,390.3,3420.0
377,2401.45,2442.0,511.8,2898.75
378,2773.75,2001.75,293.25,3011.25
379,2656.65,1977.75,611.1,2962.5
380,2231.9,1491.75,752.1,2216.25
381,2966.9,1782.75,362.1,2846.25
382,2566.35,2031.75,458.4,3157.5
383,2150.75,2205.75,297.75,3321.75
384,2929.85,2296.5,373.65,2298.0
385,2172.15,2154.0,374.1,3123.75
386,2124.95,2296.95,338.85,3053.25
387,1855.8,2395.5,406.2,3460.5
388,1929.45,2534.25,565.05,3143.25
389,2289.8,2597.25,318.45,2842.5
390,2663.45,2089.5,277.05,3120.0
391,2941.15,1956.75,307.35,2988.75
392,3260.6,1710.0,243.15,2846.25
393,2849.65,2073.75,321.6,2985.0
394,2773.4,2208.75,322.35,2857.5
395,2551.05,2508.75,263.7,2734.5
396,2126.85,2816.25,235.65,2951.25
397,2338.15,2784.0,276.6,2555.25
398,1736.85,2806.5,441.9,2952.75
399,2079.4,2612.25,375.6,2964.75
400,1651.3,2310.0,598.95,2763.75
401,2460.45,2337.75,344.55,2741.25
402,2627.95,2239.5,335.55,2805.0
403,2784.2,2295.0,445.05,2733.75
404,3473.05,1927.5,409.2,2384.25
405,3270.05,1715.25,503.7,2715.0
406,3480.7,1777.5,373.8,2610.0
407,2694.9,1927.5,338.1,3169.5
408,2789.45,1954.5,358.8,3041.25
409,2759.8,1647.0,1093.2,3120.0
410,3429.95,1541.25,496.05,2736.75
411,2732.05,1650.0,623.7,3416.25
412,3023.3,1760.25,362.7,3021.75
413,3136.15,1831.5,446.85,2887.5
414,2739.5,2154.0,289.5,3045.0
415,3018.6,1827.75,303.9,3093.75
416,2796.5,1797.0,769.5,2829.0
417,2715.3,1917.0,332.7,3165.0
418,2817.5,2133.0,337.5,2940.0
419,2226.8,2349.0,417.45,3018.75
420,2299.05,2506.5,557.7,2928.75
421,2130.35,2423.25,873.9,2902.5
422,2673.0,2065.5,1070.25,2831.25
423,2998.0,1605.0,295.5,2953.5
424,3690.35,1125.0,1026.9,2823.75
425,3747.85,1280.25,290.4,2791.5
426,3260.0,1518.75,375.0,2546.25
427,3211.9,1803.0,415.35,2793.75
428,3382.25,1689.0,421.5,2771.25
429,3056.5,1698.0,586.5,3045.0
430,2815.9,1598.7,421.65,3273.75
431,2690.75,2064.0,341.25,2970.0
432,3892.5,1500.0,280.5,2535.0
433,3290.05,1527.75,466.2,3000.0
434,3138.35,1966.5,366.15,2535.0
435,2479.85,2523.0,302.4,2844.75
436,2836.85,2356.5,346.65,2628.0
437,2818.9,1684.5,662.1,3142.5
438,2732.75,1145.25,2151.75,3278.25
439,3718.2,1203.75,394.8,2897.25
440,3238.55,1620.0,493.95,2977.5
441,3203.8,1719.0,391.2,2874.0
442,2928.35,1387.5,437.4,2718.75
443,3987.25,570.75,987.0,3015.0
444,3267.3,1236.75,336.45,3337.5
445,3454.25,1290.0,487.5,3086.25
446,3199.5,1867.5,450.0,2775.0
447,2107.6,2849.25,349.65,2851.5
448,2229.05,2826.0,775.95,2595.0
449,1800.55,2646.75,812.7,2550.0
450,2532.35,2654.25,336.15,2597.25
451,1774.7,2735.25,394.05,3270.0
452,3313.9,1481.25,325.35,2977.5
453,2947.0,1406.25,354.0,2688.75
454,3156.6,1512.75,329.4,3101.25
455,3338.25,1482.75,471.0,3000.0
456,3659.85,1425.75,261.9,2782.5
457,3520.15,1530.0,440.1,2823.75
458,3623.1,1410.0,323.4,2497.5
459,3077.3,1404.75,568.95,3195.0
460,3377.35,1352.25,383.4,3045.0
461,3334.8,1665.0,435.45,2868.75
462,3026.85,1801.5,301.65,3030.0
463,3203.55,1920.0,714.45,2598.0
464,3063.75,1773.75,436.5,2970.0
465,3160.55,1769.25,364.2,2658.0
466,2445.2,2298.75,292.8,3131.25
467,3175.75,1896.0,481.5,2700.75
468,2723.25,1476.0,1057.5,3347.25
469,3040.55,1472.25,526.2,3255.0
470,3201.7,1331.25,328.05,2685.0
471,3223.2,1179.0,790.05,2253.75
472,2881.05,1331.25,379.2,2452.5
473,3472.05,1515.0,1198.95,2640.0
474,2940.5,1445.25,341.25,2715.0
475,2427.3,1098.75,452.7,2411.25
476,2885.4,1260.0,456.6,2430.0
477,3239.85,1467.75,794.4,3000.0
478,3340.9,1468.5,293.85,3018.75
479,3052.95,1431.0,334.05,3270.0
480,2936.4,1449.75,344.1,2463.75
481,3223.05,1555.5,368.7,2628.75
482,3175.25,1479.0,369.75,3210.0
483,3103.85,1208.25,771.9,3378.0
484,3238.9,900.0,1755.6,2761.5
485,4214.7,1158.0,372.3,2535.0
486,2616.55,1260.0,790.95,2812.5
487,2455.25,1396.5,1435.5,2688.75
488,3048.8,1295.25,524.7,2711.25
489,2642.0,1188.75,1160.25,2565.0
490,2958.5,1177.5,312.0,2580.0
491,3518.9,1284.0,488.85,2918.25
492,2945.4,1634.25,268.35,2880.0
493,3049.5,1725.0,394.5,3057.0
494,3932.2,1230.0,295.8,2760.0
495,3022.7,1293.75,535.8,2883.75
496,4309.4,912.0,303.6,2625.0
497,3755.3,727.5,955.2,3090.0
498,3675.25,1121.25,598.5,2925.0
499,3754.25,1008.75,505.5,3037.5
500,3718.65,940.5,370.35,2374.5
501,3817.15,1074.0,842.1,2958.75
502,3681.05,774.0,292.2,2244.75
503,3625.8,966.75,264.45,3255.0
504,4014.4,1038.75,332.85,2820.0
505,3928.75,1065.0,433.5,2874.75
506,3588.45,1125.75,353.55,3116.25
507,3717.85,1072.5,365.4,3002.25
508,3551.9,960.0,566.85,3281.25
509,3908.6,1196.25,558.15,2607.0
510,2889.55,1455.0,589.95,3577.5
511,2714.0,1194.0,2160.75,3143.25
512,2958.4,939.75,551.1,2454.75
513,4296.15,945.0,1274.85,3090.0
514,4633.0,645.0,1620.0,2820.0
515,5239.75,255.0,1938.75,3142.5
516,4876.25,300.0,2098.5,3401.25
517,4690.5,611.25,1858.5,3183.75
518,3845.75,900.0,327.75,3142.5
519,3554.8,750.0,764.7,3382.5
520,3424.0,496.5,2158.5,2205.0
521,3667.0,1149.0,1819.5,2542.5
522,2780.7,1743.75,341.55,3270.0
523,3085.75,1710.0,553.5,3150.75
524,2982.75,1800.0,318.75,3112.5
525,3394.0,1856.25,345.0,2628.75
526,2457.8,1980.0,286.95,3437.25
527,2911.75,1920.0,295.5,3048.75
528,3480.1,1457.25,416.4,2582.25
529,3470.5,1275.0,939.0,2911.5
530,4006.0,993.75,1023.75,2962.5
531,3862.55,1260.0,1435.2,2756.25
532,3559.9,1477.5,404.85,2649.75
533,3421.8,1786.5,351.45,2636.25
534,2753.3,1561.5,335.7,2791.5
535,3295.9,1485.0,254.1,3165.0
536,3635.55,1380.0,416.7,2913.75
537,3293.8,1582.5,610.95,3048.75
538,3808.2,1530.0,423.3,2632.5
539,3153.0,1591.5,850.5,2925.0
540,3125.75,1490.25,471.0,2787.0
541,3800.5,1245.0,420.0,2896.5
542,3472.7,951.0,326.55,2835.75
543,2992.85,808.5,1806.9,2229.75
544,3938.05,618.75,770.7,2452.5
545,3774.8,498.75,496.95,2401.5
546,3419.85,423.75,452.4,2556.0
547,3788.0,341.25,1975.5,2621.25
548,4154.1,296.25,792.15,2167.5
549,2946.1,854.25,1668.15,3157.5
550,3619.35,1200.0,541.65,3075.0
551,3751.9,1098.0,656.85,2801.25
552,3367.4,1047.0,345.6,3390.0
553,2863.05,1163.25,294.45,2621.25
554,3763.0,1230.0,303.0,2910.0
555,3866.3,1076.25,947.7,2823.75
556,3558.75,1132.5,945.75,2505.0
557,3707.2,1190.25,369.3,2597.25
558,4316.85,885.75,578.4,2685.0
559,3444.15,652.5,461.1,2366.25
560,3606.85,652.5,959.4,2711.25
