episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
364,300.0,75.0,0.85,45.0,0.225
365,255.0,60.0,0.8,135.0,0.25
366,-26.25,0.0,0.1,236.25,0.25
367,140.0,56.25,0.65,33.75,0.25
368,171.25,45.0,0.675,33.75,0.4
369,181.25,105.0,0.75,33.75,0.25
370,275.0,120.0,0.75,45.0,0.375
371,10.0,180.0,0.4,330.0,0.25
372,63.75,195.0,0.35,71.25,0.225
373,50.0,60.0,0.4,90.0,0.4
374,47.5,90.0,0.45,22.5,0.3
375,-7.5,30.0,0.3,157.5,0.25
376,-11.25,165.0,0.25,176.25,0.25
377,-70.0,228.75,0.175,101.25,0.3
378,36.25,292.5,0.35,221.25,0.3
379,-17.5,30.0,0.0,67.5,0.25
380,-12.5,90.0,0.275,382.5,0.325
381,-63.75,277.5,0.05,86.25,0.4
382,-53.75,146.25,0.15,67.5,0.325
383,-68.75,247.5,0.125,11.25,0.25
384,3.75,165.0,0.125,131.25,0.55
385,-35.0,120.0,0.125,135.0,0.3
386,-21.25,176.25,0.175,225.0,0.325
387,-43.75,172.5,0.225,11.25,0.375
388,-42.5,191.25,0.175,11.25,0.225
389,-63.75,165.0,0.05,168.75,0.275
390,-53.75,127.5,0.05,176.25,0.275
391,-123.75,375.0,0.0,48.75,0.325
392,-100.0,307.5,0.025,22.5,0.25
393,-30.0,150.0,0.075,90.0,0.375
394,-58.75,142.5,0.05,326.25,0.3
395,-86.25,240.0,0.1,176.25,0.325
396,-8.75,105.0,0.1,153.75,0.3
397,-73.75,243.75,0.075,120.0,0.3
398,-35.0,127.5,0.175,157.5,0.25
399,1.25,48.75,0.125,270.0,0.3
400,1.25,131.25,0.225,127.5,0.375
401,-33.75,112.5,0.15,101.25,0.25
402,-63.75,165.0,0.075,108.75,0.275
403,-98.75,277.5,0.05,131.25,0.25
404,-30.0,15.0,0.15,225.0,0.25
405,-130.0,345.0,0.0,135.0,0.275
406,-27.5,90.0,0.1,127.5,0.3
407,-30.0,90.0,0.1,90.0,0.25
408,-53.75,135.0,0.075,168.75,0.25
409,-45.0,120.0,0.3,165.0,0.25
410,-40.0,127.5,0.05,202.5,0.325
411,-80.0,202.5,0.075,157.5,0.225
412,-68.75,247.5,0.15,101.25,0.35
413,-97.5,292.5,0.075,105.0,0.225
414,-61.25,176.25,0.025,225.0,0.325
415,-85.0,240.0,0.05,165.0,0.2
416,-35.0,82.5,0.075,292.5,0.275
417,-26.25,146.25,0.175,120.0,0.3
418,3.75,105.0,0.2,161.25,0.3
419,-56.25,90.0,0.15,176.25,0.25
420,-5.0,67.5,0.05,187.5,0.375
421,-1.25,90.0,0.175,131.25,0.375
422,-6.25,105.0,0.2,191.25,0.425
423,-61.25,146.25,0.125,165.0,0.2
424,-36.25,105.0,0.025,101.25,0.4
425,-60.0,341.25,0.3,258.75,0.275
426,-96.25,232.5,0.05,213.75,0.25
427,-30.0,138.75,0.175,101.25,0.225
428,-28.75,116.25,0.025,112.5,0.325
429,62.5,315.0,0.475,202.5,0.25
430,-46.25,180.0,0.1,146.25,0.4
431,-63.75,243.75,0.075,90.0,0.45
432,-66.25,221.25,0.1,75.0,0.25
433,-68.75,213.75,0.175,255.0,0.3
434,-88.75,247.5,0.225,221.25,0.275
435,-52.5,240.0,0.0,142.5,0.35
436,-32.5,120.0,0.05,82.5,0.425
437,-68.75,183.75,0.225,135.0,0.325
438,-51.25,138.75,0.075,142.5,0.275
439,-50.0,292.5,0.175,337.5,0.325
440,-5.0,195.0,0.4,210.0,0.225
441,0.0,135.0,0.275,45.0,0.3
442,-118.75,240.0,0.1,348.75,0.225
443,-8.75,135.0,0.0,33.75,0.325
444,27.5,191.25,0.4,101.25,0.25
445,3.75,131.25,0.425,135.0,0.3
446,-26.25,67.5,0.425,168.75,0.225
447,-1.25,161.25,0.45,90.0,0.25
448,-46.25,288.75,0.175,247.5,0.325
449,17.5,307.5,0.375,195.0,0.275
450,-71.25,213.75,0.225,337.5,0.275
451,-20.0,15.0,0.35,135.0,0.25
452,-37.5,97.5,0.35,180.0,0.25
453,-1.25,67.5,0.325,153.75,0.3
454,-23.75,48.75,0.45,135.0,0.4
455,81.25,198.75,0.5,90.0,0.225
456,88.75,45.0,0.75,206.25,0.35
457,6.25,138.75,0.375,45.0,0.25
458,153.75,198.75,0.65,157.5,0.25
459,-1.25,198.75,0.25,172.5,0.425
460,-53.75,247.5,0.25,236.25,0.225
461,-5.0,48.75,0.7,26.25,0.25
462,-40.0,187.5,0.35,112.5,0.25
463,87.5,198.75,0.475,123.75,0.325
464,15.0,198.75,0.35,236.25,0.35
465,80.0,75.0,0.725,45.0,0.275
466,7.5,26.25,0.7,56.25,0.2
467,16.25,78.75,0.575,105.0,0.3
468,56.25,63.75,0.6,30.0,0.35
469,90.0,86.25,0.7,153.75,0.275
470,43.75,33.75,0.775,202.5,0.25
471,41.25,45.0,0.625,123.75,0.25
472,121.25,123.75,0.7,165.0,0.225
473,155.0,146.25,0.65,138.75,0.35
474,-3.75,60.0,0.725,213.75,0.25
475,121.25,71.25,0.775,157.5,0.25
476,41.25,48.75,0.725,300.0,0.275
477,62.5,41.25,0.75,56.25,0.25
478,203.75,146.25,0.725,300.0,0.3
479,176.25,183.75,0.65,120.0,0.25
480,140.0,101.25,0.725,168.75,0.375
481,221.25,138.75,0.75,180.0,0.325
482,132.5,150.0,0.65,37.5,0.325
483,71.25,30.0,0.775,78.75,0.325
484,103.75,105.0,0.7,221.25,0.3
485,76.25,52.5,0.75,131.25,0.35
486,106.25,63.75,0.725,0.0,0.5
487,90.0,165.0,0.6,195.0,0.3
488,10.0,30.0,0.75,300.0,0.275
489,45.0,82.5,0.675,292.5,0.25
490,13.75,221.25,0.475,315.0,0.3
491,66.25,172.5,0.6,11.25,0.225
492,27.5,90.0,0.65,202.5,0.25
493,100.0,108.75,0.625,281.25,0.25
494,58.75,123.75,0.6,187.5,0.275
495,126.25,71.25,0.75,112.5,0.325
496,72.5,97.5,0.625,90.0,0.325
497,73.75,63.75,0.7,112.5,0.25
