episode,investor_return,fair_1_return,max_1_return,rnd_1_return
293,1685.7,727.5,214.8,1470.0
294,1354.4,610.5,395.85,1475.25
295,1808.3,700.5,1036.95,1106.25
296,2001.55,705.0,201.45,1128.0
297,1779.2,563.25,144.3,1517.25
298,1642.7,725.25,256.05,1482.0
299,1693.9,815.25,236.85,1410.0
300,1583.2,924.0,139.8,1395.0
301,1387.55,937.5,139.95,1545.0
302,1544.4,804.0,203.85,1407.75
303,1591.7,835.5,202.05,1398.75
304,1628.45,809.25,147.3,1455.0
305,1556.8,723.0,203.7,1606.5
306,1515.4,690.75,203.1,1638.75
307,1535.1,702.0,336.15,1608.75
308,1662.25,807.0,198.75,1470.0
309,1535.6,838.5,164.4,1471.5
310,1547.5,779.25,585.0,1370.25
311,1579.35,737.25,423.9,1447.5
312,1539.75,781.5,633.75,1305.0
313,1293.35,891.0,828.9,1518.75
314,1402.95,951.0,169.05,1575.0
315,1341.7,820.5,173.55,1586.25
316,1888.4,785.25,143.85,1132.5
317,1248.2,899.25,244.05,1636.5
318,1766.25,824.25,187.5,1290.0
319,1420.25,936.0,146.25,1447.5
320,1678.3,788.25,145.95,1327.5
321,1729.75,830.25,318.0,1200.0
322,1629.05,839.25,319.2,1432.5
323,1393.85,936.0,120.15,1590.0
324,1645.4,907.5,214.35,1338.75
325,1488.35,784.5,741.9,1481.25
326,1340.2,835.5,213.3,1695.0
327,1617.5,720.0,242.25,1448.25
328,1362.55,824.25,287.7,1621.5
329,1516.4,741.0,170.85,1629.75
330,1718.85,753.0,174.15,1422.0
331,1488.5,996.75,228.75,1410.0
332,1442.15,909.75,235.35,1428.75
333,1481.85,847.5,289.65,1545.0
334,1363.25,800.7,121.8,1706.25
335,1186.8,1071.0,257.7,1612.5
336,1176.4,1164.0,236.1,1411.5
337,1265.55,1137.0,274.2,1361.25
338,1593.95,1045.5,145.05,1237.5
339,1517.45,759.0,575.55,1500.0
340,1514.75,753.0,1349.25,1269.0
341,1729.0,753.0,399.75,1112.25
342,1652.05,819.0,151.95,1485.0
343,1524.2,753.75,201.3,1608.75
344,1601.0,705.0,243.0,1179.0
345,1508.0,744.0,295.5,1312.5
346,1632.1,807.0,201.9,1425.0
347,1617.55,720.75,224.7,1467.0
348,1675.5,841.5,141.75,1391.25
349,1511.05,873.75,223.2,1440.0
350,1578.45,1062.0,197.55,1290.0
351,1422.85,1017.75,164.4,1443.0
352,1312.2,934.5,293.55,1533.75
353,1416.2,717.75,148.05,1650.0
354,1711.65,903.0,139.35,1308.0
355,1452.65,843.0,361.35,1605.0
356,1678.25,840.0,94.5,1457.25
357,1456.1,817.5,186.9,1597.5
358,1521.5,699.0,334.5,1425.0
359,1651.8,705.0,187.95,1571.25
360,1754.3,666.0,224.7,1515.0
361,2023.8,588.75,138.45,1335.0
362,1949.55,621.75,80.7,1380.0
363,1866.55,522.0,111.45,1410.0
364,2024.4,561.0,134.1,1402.5
365,1715.0,861.0,108.0,1410.0
366,1509.2,900.75,228.3,1413.75
367,1447.6,1122.0,110.4,1410.0
368,1167.9,1113.0,163.35,1593.75
369,1194.15,1080.0,147.6,1646.25
370,1231.6,962.25,137.4,1608.75
371,1562.15,846.0,208.35,1477.5
372,1343.7,894.75,227.55,1620.0
373,1836.95,762.0,179.55,1279.5
374,1974.65,618.0,237.6,1293.75
375,1995.15,581.25,351.6,1260.0
376,1638.85,666.0,147.15,1530.0
377,1655.75,690.0,296.25,1530.0
378,1549.5,729.75,147.75,1635.0
379,1840.55,713.25,169.2,1335.0
380,1388.5,865.5,145.5,1612.5
381,1491.6,863.25,182.4,1518.75
382,1523.25,877.5,163.5,1443.75
383,1344.65,1146.0,152.85,1402.5
384,1056.85,1202.25,192.15,1608.75
385,1375.5,1023.0,289.5,1380.0
386,1066.5,1284.0,147.0,1582.5
387,1298.6,1261.5,147.9,1350.0
388,1424.75,1085.7,183.3,1316.25
389,1353.2,1113.0,130.05,1425.75
390,1242.8,1114.5,119.7,1545.0
391,1454.95,999.0,154.05,1410.0
392,1410.4,1160.7,168.15,1188.75
393,1472.45,985.5,160.8,1331.25
394,1387.5,884.25,147.0,1601.25
395,1422.45,881.25,189.3,1425.0
396,1689.35,813.0,190.65,1395.0
397,1542.9,644.7,208.65,921.75
398,1743.1,746.25,466.65,1320.0
399,1604.45,772.5,302.55,1426.5
400,1875.55,761.25,148.2,1275.0
401,1453.9,765.75,208.35,1650.0
402,1699.7,774.0,144.3,1500.0
403,1804.75,798.0,204.0,1241.25
404,1612.75,663.0,146.25,1590.0
405,1640.4,684.0,257.85,1563.75
406,1686.95,826.5,146.55,1350.0
407,1606.15,891.0,218.85,1410.0
408,1457.35,873.75,146.4,1522.5
409,1826.55,738.75,196.2,1018.5
410,1264.1,720.75,206.4,1518.75
411,1384.25,992.25,317.25,1346.25
412,1578.0,847.5,210.0,1372.5
413,1559.65,1029.0,147.6,1293.75
414,1601.7,785.25,250.05,1335.0
415,1509.5,813.0,144.75,1494.75
416,1520.05,861.75,145.95,1274.25
417,1589.75,916.5,201.75,1362.0
418,1582.95,731.25,187.8,1620.0
419,1484.1,780.0,216.9,1665.0
420,1865.25,686.25,144.75,1323.75
421,1744.95,642.75,147.3,1515.0
422,1673.55,702.0,253.95,1162.5
423,1586.95,750.0,220.8,1556.25
424,1743.55,675.75,100.2,1402.5
425,1605.1,796.5,98.4,1530.0
426,1608.5,750.0,109.5,1620.0
427,1723.85,798.0,192.15,1380.0
428,1666.1,770.25,170.4,1421.25
429,1720.35,835.5,240.15,1290.0
430,1793.75,789.0,170.25,1365.0
