timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
9,max_1,max,0,4,10082.75,5.0,15.0,3.75,0.25,-1.25,11.25,82.75,371.25,,
9,rnd_1,random,0,4,10102.75,10.0,30.0,30.0,1.0,20.0,0.0,102.75,246.75,,
10,fair_1,fair,0,4,10127.75,20.0,60.0,45.0,0.75,25.0,15.0,127.75,86.25,,
10,max_1,max,0,4,10126.75,1.0,3.0,0.0,0.0,-1.0,3.0,126.75,374.25,,
10,rnd_1,random,0,4,10133.0,5.0,15.0,11.25,0.75,6.25,3.75,133.0,250.5,,
11,fair_1,fair,0,4,10163.0,15.0,45.0,45.0,1.0,30.0,0.0,163.0,86.25,,
11,max_1,max,0,4,10158.0,5.0,15.0,0.0,0.0,-5.0,15.0,158.0,389.25,,
11,rnd_1,random,0,4,10143.0,15.0,45.0,0.0,0.0,-15.0,45.0,143.0,295.5,,
12,fair_1,fair,0,4,10183.0,20.0,60.0,60.0,1.0,40.0,0.0,183.0,86.25,,
12,max_1,max,0,4,10178.0,5.0,15.0,0.0,0.0,-5.0,15.0,178.0,404.25,,
12,rnd_1,random,0,4,10163.0,15.0,45.0,0.0,0.0,-15.0,45.0,163.0,340.5,,
13,fair_1,fair,0,4,10181.75,15.0,45.0,33.75,0.75,18.75,11.25,181.75,97.5,,
13,max_1,max,0,4,10161.75,20.0,60.0,0.0,0.0,-20.0,60.0,161.75,464.25,,
13,rnd_1,random,0,4,10146.75,15.0,45.0,0.0,0.0,-15.0,45.0,146.75,385.5,,
14,fair_1,fair,0,4,10176.75,15.0,45.0,45.0,1.0,30.0,0.0,176.75,97.5,,
14,max_1,max,0,4,10161.75,15.0,45.0,0.0,0.0,-15.0,45.0,161.75,509.25,,
14,rnd_1,random,0,4,10158.0,15.0,45.0,11.25,0.25,-3.75,33.75,158.0,419.25,,
15,fair_1,fair,0,4,10198.0,20.0,60.0,60.0,1.0,40.0,0.0,198.0,97.5,,
15,max_1,max,0,4,10188.0,10.0,30.0,0.0,0.0,-10.0,30.0,188.0,539.25,,
15,rnd_1,random,0,4,10183.0,20.0,60.0,15.0,0.25,-5.0,45.0,183.0,464.25,,
16,fair_1,fair,0,4,10208.0,20.0,60.0,45.0,0.75,25.0,15.0,208.0,112.5,,
16,max_1,max,0,4,10203.0,5.0,15.0,0.0,0.0,-5.0,15.0,203.0,554.25,,
16,rnd_1,random,0,4,10223.0,10.0,30.0,30.0,1.0,20.0,0.0,223.0,464.25,,
17,fair_1,fair,0,4,10263.0,20.0,60.0,60.0,1.0,40.0,0.0,263.0,112.5,,
17,max_1,max,0,4,10262.0,1.0,3.0,0.0,0.0,-1.0,3.0,262.0,557.25,,
17,rnd_1,random,0,4,10302.0,20.0,60.0,60.0,1.0,40.0,0.0,302.0,464.25,,
18,fair_1,fair,0,4,10342.0,20.0,60.0,60.0,1.0,40.0,0.0,342.0,112.5,,
