timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
71,max_2,max,0,4,11876.75,0.0,0.0,0.0,0.5,0.0,0.0,1876.75,915.75,,
72,fair_1,fair,0,4,11886.75,5.0,15.0,15.0,1.0,10.0,0.0,1886.75,1226.25,,
72,max_1,max,0,4,11876.25,15.0,45.0,4.5,0.1,-10.5,40.5,1876.25,1405.5,,
72,fair_2,fair,0,4,11904.25,20.0,60.0,48.0,0.8,28.0,12.0,1904.25,1448.25,,
72,max_2,max,0,4,11899.25,5.0,15.0,0.0,0.0,-5.0,15.0,1899.25,930.75,,
73,fair_1,fair,0,4,11929.25,15.0,45.0,45.0,1.0,30.0,0.0,1929.25,1226.25,,
73,max_1,max,0,4,11926.5,5.0,15.0,2.25,0.15,-2.75,12.75,1926.5,1418.25,,
73,fair_2,fair,0,4,11966.5,20.0,60.0,60.0,1.0,40.0,0.0,1966.5,1448.25,,
73,max_2,max,0,4,11961.5,5.0,15.0,0.0,0.0,-5.0,15.0,1961.5,945.75,,
74,fair_1,fair,0,4,11989.25,15.0,45.0,42.75,0.95,27.75,2.25,1989.25,1228.5,,
74,max_1,max,0,4,11985.75,5.0,15.0,1.5,0.1,-3.5,13.5,1985.75,1431.75,,
74,fair_2,fair,0,4,11965.75,20.0,60.0,0.0,0.0,-20.0,60.0,1965.75,1508.25,,
74,max_2,max,0,4,11965.75,0.0,0.0,0.0,0.0,0.0,0.0,1965.75,945.75,,
75,fair_1,fair,0,4,11969.75,20.0,60.0,24.0,0.4,4.0,36.0,1969.75,1264.5,,
75,max_1,max,0,4,11966.25,5.0,15.0,1.5,0.1,-3.5,13.5,1966.25,1445.25,,
75,fair_2,fair,0,4,11946.25,20.0,60.0,0.0,0.0,-20.0,60.0,1946.25,1568.25,,
75,max_2,max,0,4,11931.25,15.0,45.0,0.0,0.0,-15.0,45.0,1931.25,990.75,,
76,fair_1,fair,0,4,11926.25,5.0,15.0,0.0,0.0,-5.0,15.0,1926.25,1279.5,,
76,max_1,max,0,4,11922.75,5.0,15.0,1.5,0.1,-3.5,13.5,1922.75,1458.75,,
76,fair_2,fair,0,4,11922.75,0.0,0.0,0.0,0.05,0.0,0.0,1922.75,1568.25,,
76,max_2,max,0,4,11922.75,0.0,0.0,0.0,0.0,0.0,0.0,1922.75,990.75,,
