timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
1,1,a2,fair,0,1,4,7.5,-37.5,-12.5,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,52.5,3
2,0,a1,max,0,1,4,-15.0,-47.5,-35.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,105.0,3
2,1,a2,fair,0,1,4,2.5,-52.5,-17.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,67.5,3
3,0,a1,max,0,1,4,-25.0,-62.5,-45.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,135.0,3
3,1,a2,fair,0,1,4,32.5,-32.5,12.5,15.0,15.0,45.0,45.0,1.0,30.0,0.0,67.5,3
4,0,a1,max,0,1,4,-35.0,-42.5,-55.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,165.0,3
4,1,a2,fair,0,1,4,62.5,-12.5,42.5,15.0,15.0,45.0,45.0,1.0,30.0,0.0,67.5,3
5,0,a1,max,0,1,4,-40.0,-17.5,-60.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,180.0,3
5,1,a2,fair,0,1,4,87.5,7.5,67.5,20.0,20.0,60.0,45.0,0.75,25.0,15.0,82.5,3
6,0,a1,max,0,1,4,-50.0,-2.5,-70.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,210.0,3
6,1,a2,fair,0,1,4,97.5,7.5,77.5,5.0,5.0,15.0,15.0,1.0,10.0,0.0,82.5,3
7,0,a1,max,0,1,4,-60.0,-2.5,-80.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,240.0,3
7,1,a2,fair,0,1,4,110.0,10.0,90.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,90.0,3
8,0,a1,max,0,1,4,-65.0,5.0,-85.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,255.0,3
8,1,a2,fair,0,1,4,116.25,11.25,96.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,93.75,3
9,0,a1,max,0,1,4,-80.0,-3.75,-100.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,300.0,3
9,1,a2,fair,0,1,4,122.5,2.5,102.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,97.5,3
0,0,a1,max,0,1,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4
0,1,a2,fair,0,1,4,22.5,2.5,2.5,5.0,5.0,15.0,7.5,0.5,2.5,7.5,7.5,4
1,0,a1,max,0,1,4,15.0,-2.5,-5.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,15.0,4
1,1,a2,fair,0,1,4,25.0,0.0,5.0,5.0,5.0,15.0,7.5,0.5,2.5,7.5,15.0,4
2,0,a1,max,0,1,4,5.0,-10.0,-15.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,45.0,4
2,1,a2,fair,0,1,4,23.75,-11.25,3.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,26.25,4
3,0,a1,max,0,1,4,-5.0,-21.25,-25.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,75.0,4
3,1,a2,fair,0,1,4,13.75,-31.25,-6.25,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,56.25,4
4,0,a1,max,0,1,4,-10.0,-36.25,-30.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,90.0,4
4,1,a2,fair,0,1,4,23.75,-26.25,3.75,5.0,5.0,15.0,15.0,1.0,10.0,0.0,56.25,4
5,0,a1,max,0,1,4,-20.0,-36.25,-40.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,120.0,4
5,1,a2,fair,0,1,4,33.75,-26.25,13.75,5.0,5.0,15.0,15.0,1.0,10.0,0.0,56.25,4
6,0,a1,max,0,1,4,-25.0,-31.25,-45.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,135.0,4
6,1,a2,fair,0,1,4,43.75,-21.25,23.75,5.0,5.0,15.0,15.0,1.0,10.0,0.0,56.25,4
7,0,a1,max,0,1,4,-40.0,-36.25,-60.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,180.0,4
7,1,a2,fair,0,1,4,63.75,-16.25,43.75,10.0,10.0,30.0,30.0,1.0,20.0,0.0,56.25,4
8,0,a1,max,0,1,4,-60.0,-36.25,-80.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,240.0,4
8,1,a2,fair,0,1,4,70.0,-30.0,50.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,60.0,4
9,0,a1,max,0,1,4,-80.0,-50.0,-100.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,300.0,4
9,1,a2,fair,0,1,4,76.25,-43.75,56.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,63.75,4
0,0,a1,max,0,1,4,15.0,-5.0,-5.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,15.0,5
0,1,a2,fair,0,1,4,20.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,5
1,0,a1,max,0,1,4,10.0,-10.0,-10.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,30.0,5
1,1,a2,fair,0,1,4,20.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,5
2,0,a1,max,0,1,4,5.0,-15.0,-15.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,45.0,5
2,1,a2,fair,0,1,4,20.0,-15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5
3,0,a1,max,0,1,4,5.0,-15.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5
3,1,a2,fair,0,1,4,40.0,5.0,20.0,10.0,10.0,30.0,30.0,1.0,20.0,0.0,0.0,5
4,0,a1,max,0,1,4,5.0,5.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,5
4,1,a2,fair,0,1,4,52.5,17.5,32.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,7.5,5
5,0,a1,max,0,1,4,-15.0,-2.5,-35.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,105.0,5
5,1,a2,fair,0,1,4,52.5,-2.5,32.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,7.5,5
6,0,a1,max,0,1,4,-15.0,-2.5,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,5
6,1,a2,fair,0,1,4,52.5,-2.5,32.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,7.5,5
7,0,a1,max,0,1,4,-15.0,-2.5,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,5
7,1,a2,fair,0,1,4,52.5,-2.5,32.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,7.5,5
8,0,a1,max,0,1,4,-15.0,-2.5,-35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105.0,5
8,1,a2,fair,0,1,4,52.5,-2.5,32.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,7.5,5
9,0,a1,max,0,1,4,-15.0,-2.5,-35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105.0,5
9,1,a2,fair,0,1,4,52.5,-2.5,32.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,7.5,5
0,0,a1,max,0,1,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,6
0,1,a2,fair,0,1,4,18.75,-11.25,-1.25,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,11.25,6
1,0,a1,max,0,1,4,0.0,-21.25,-20.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,60.0,6
1,1,a2,fair,0,1,4,17.5,-22.5,-2.5,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,22.5,6
2,0,a1,max,0,1,4,-15.0,-37.5,-35.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,105.0,6
2,1,a2,fair,0,1,4,2.5,-52.5,-17.5,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,67.5,6
3,0,a1,max,0,1,4,-15.0,-52.5,-35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105.0,6
3,1,a2,fair,0,1,4,12.5,-42.5,-7.5,5.0,5.0,15.0,15.0,1.0,10.0,0.0,67.5,6
4,0,a1,max,0,1,4,-20.0,-47.5,-40.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,120.0,6
4,1,a2,fair,0,1,4,12.5,-47.5,-7.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,67.5,6
5,0,a1,max,0,1,4,-25.0,-52.5,-45.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,135.0,6
5,1,a2,fair,0,1,4,22.5,-42.5,2.5,5.0,5.0,15.0,15.0,1.0,10.0,0.0,67.5,6
6,0,a1,max,0,1,4,-35.0,-52.5,-55.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,165.0,6
6,1,a2,fair,0,1,4,42.5,-32.5,22.5,10.0,10.0,30.0,30.0,1.0,20.0,0.0,67.5,6
7,0,a1,max,0,1,4,-40.0,-37.5,-60.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,180.0,6
7,1,a2,fair,0,1,4,48.75,-31.25,28.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,71.25,6
8,0,a1,max,0,1,4,-50.0,-41.25,-70.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,210.0,6
8,1,a2,fair,0,1,4,61.25,-28.75,41.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,78.75,6
9,0,a1,max,0,1,4,-60.0,-38.75,-80.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,240.0,6
9,1,a2,fair,0,1,4,61.25,-38.75,41.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,78.75,6
0,0,a1,max,0,1,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,7
0,1,a2,fair,0,1,4,16.25,-13.75,-3.75,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,33.75,7
1,0,a1,max,0,1,4,5.0,-18.75,-15.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,45.0,7
1,1,a2,fair,0,1,4,13.75,-21.25,-6.25,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,56.25,7
2,0,a1,max,0,1,4,-5.0,-31.25,-25.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,75.0,7
2,1,a2,fair,0,1,4,11.25,-33.75,-8.75,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,78.75,7
3,0,a1,max,0,1,4,-15.0,-43.75,-35.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,105.0,7
3,1,a2,fair,0,1,4,41.25,-13.75,21.25,15.0,15.0,45.0,45.0,1.0,30.0,0.0,78.75,7
4,0,a1,max,0,1,4,-25.0,-23.75,-45.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,135.0,7
4,1,a2,fair,0,1,4,81.25,16.25,61.25,20.0,20.0,60.0,60.0,1.0,40.0,0.0,78.75,7
5,0,a1,max,0,1,4,-30.0,11.25,-50.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,150.0,7
5,1,a2,fair,0,1,4,101.25,31.25,81.25,10.0,10.0,30.0,30.0,1.0,20.0,0.0,78.75,7
6,0,a1,max,0,1,4,-30.0,31.25,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7
6,1,a2,fair,0,1,4,120.0,50.0,100.0,15.0,15.0,45.0,33.75,0.75,18.75,11.25,90.0,7
7,0,a1,max,0,1,4,-30.0,50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,7
7,1,a2,fair,0,1,4,138.75,68.75,118.75,15.0,15.0,45.0,33.75,0.75,18.75,11.25,101.25,7
8,0,a1,max,0,1,4,-30.0,68.75,-50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,150.0,7
8,1,a2,fair,0,1,4,157.5,87.5,137.5,15.0,15.0,45.0,33.75,0.75,18.75,11.25,112.5,7
9,0,a1,max,0,1,4,-30.0,87.5,-50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,150.0,7
9,1,a2,fair,0,1,4,176.25,106.25,156.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,123.75,7
0,0,a1,max,0,1,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,8
0,1,a2,fair,0,1,4,22.5,2.5,2.5,5.0,5.0,15.0,7.5,0.5,2.5,7.5,7.5,8
1,0,a1,max,0,1,4,20.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
1,1,a2,fair,0,1,4,27.5,7.5,7.5,10.0,10.0,30.0,15.0,0.5,5.0,15.0,22.5,8
2,0,a1,max,0,1,4,15.0,2.5,-5.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,15.0,8
2,1,a2,fair,0,1,4,30.0,5.0,10.0,5.0,5.0,15.0,7.5,0.5,2.5,7.5,30.0,8
3,0,a1,max,0,1,4,5.0,-5.0,-15.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,45.0,8
3,1,a2,fair,0,1,4,28.75,-6.25,8.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,41.25,8
4,0,a1,max,0,1,4,0.0,-11.25,-20.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,60.0,8
4,1,a2,fair,0,1,4,31.25,-8.75,11.25,5.0,5.0,15.0,7.5,0.5,2.5,7.5,48.75,8
5,0,a1,max,0,1,4,-10.0,-18.75,-30.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,90.0,8
5,1,a2,fair,0,1,4,41.25,-8.75,21.25,5.0,5.0,15.0,15.0,1.0,10.0,0.0,48.75,8
6,0,a1,max,0,1,4,-20.0,-18.75,-40.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,120.0,8
