iter,dgp,e_ii,sutva_status,tau_hat,se_hat,ci_low,ci_high
92,DGP 1: No investor communication,0,Fulfilled,6.88687500000001,1.3541910420247865,4.232660557631428,9.541089442368591
92,DGP 2: Investor communication,1,Violated,5.589999999999984,1.7114114572629988,2.2356335437645063,8.94436645623546
93,DGP 1: No investor communication,0,Fulfilled,7.397500000000023,1.3762760799884362,4.699998883222689,10.095001116777357
93,DGP 2: Investor communication,1,Violated,8.53562500000001,1.709817715881847,5.18438227687159,11.88686772312843
94,DGP 1: No investor communication,0,Fulfilled,8.662499999999989,1.3523610207079801,6.011872399412348,11.313127600587631
94,DGP 2: Investor communication,1,Violated,10.785000000000021,1.7032545541040178,7.4466210739561465,14.123378926043896
95,DGP 1: No investor communication,0,Fulfilled,8.719375000000012,1.3128137255242225,6.146260097972536,11.292489902027487
95,DGP 2: Investor communication,1,Violated,8.726874999999978,1.75984110557993,5.277586433063316,12.17616356693664
96,DGP 1: No investor communication,0,Fulfilled,8.315625000000011,1.3585467196323455,5.652873429520614,10.978376570479409
96,DGP 2: Investor communication,1,Violated,8.526249999999994,1.7734905602243076,5.050208501960351,12.002291498039636
97,DGP 1: No investor communication,0,Fulfilled,10.337499999999999,1.337674666485505,7.7156576536884085,12.959342346311589
97,DGP 2: Investor communication,1,Violated,9.667500000000036,1.772045750604647,6.194290328814928,13.140709671185144
98,DGP 1: No investor communication,0,Fulfilled,6.64187499999999,1.3478575212655122,4.000074258319586,9.283675741680394
98,DGP 2: Investor communication,1,Violated,8.951875,1.7254694335891958,5.569954910165176,12.333795089834823
99,DGP 1: No investor communication,0,Fulfilled,11.034374999999965,1.3181196698606115,8.450860447073167,13.617889552926764
99,DGP 2: Investor communication,1,Violated,5.175625000000018,1.7454837776143317,1.7544767958759278,8.596773204124109
100,DGP 1: No investor communication,0,Fulfilled,9.559374999999992,1.329165160898681,6.9542112846385775,12.164538715361406
100,DGP 2: Investor communication,1,Violated,10.180000000000028,1.700878466059904,6.846278206522617,13.51372179347744
101,DGP 1: No investor communication,0,Fulfilled,8.166875000000001,1.3493034055493627,5.52224032512325,10.811509674876753
101,DGP 2: Investor communication,1,Violated,10.836250000000007,1.6869056691688982,7.529914888428967,14.142585111571048
102,DGP 1: No investor communication,0,Fulfilled,6.5231250000000145,1.3544147894362784,3.868472012704909,9.17777798729512
102,DGP 2: Investor communication,1,Violated,10.266249999999989,1.7115544339281366,6.911603309500841,13.620896690499137
103,DGP 1: No investor communication,0,Fulfilled,9.189374999999997,1.34743485718837,6.548402679910791,11.830347320089203
103,DGP 2: Investor communication,1,Violated,7.231875000000002,1.7527023655998328,3.79657836342433,10.667171636575674
104,DGP 1: No investor communication,0,Fulfilled,9.667500000000008,1.3201136800492839,7.080077187103411,12.254922812896604
104,DGP 2: Investor communication,1,Violated,9.860624999999985,1.688712316054978,6.550748860532227,13.170501139467742
105,DGP 1: No investor communication,0,Fulfilled,7.333125000000004,1.3433635130755341,4.7001325143719574,9.96611748562805
105,DGP 2: Investor communication,1,Violated,7.379999999999987,1.7524376746202504,3.945222157744296,10.814777842255676
106,DGP 1: No investor communication,0,Fulfilled,9.635625000000001,1.3449136299290156,6.99959428533913,12.271655714660872
106,DGP 2: Investor communication,1,Violated,6.253124999999969,1.7222568858594436,2.877501503715459,9.628748496284478
107,DGP 1: No investor communication,0,Fulfilled,9.404375,1.3721505976010286,6.714959828701984,12.093790171298016
107,DGP 2: Investor communication,1,Violated,3.2275000000000205,1.7233501877051003,-0.15026636790197623,6.605266367902017
108,DGP 1: No investor communication,0,Fulfilled,7.379375000000015,1.3232534618634897,4.785798214747575,9.972951785252455
108,DGP 2: Investor communication,1,Violated,13.380625000000009,1.7207947359272895,10.007867317582521,16.753382682417495
109,DGP 1: No investor communication,0,Fulfilled,8.160624999999994,1.3190305918549163,5.575325039964358,10.74592496003563
109,DGP 2: Investor communication,1,Violated,6.0399999999999885,1.7433263208245482,2.623080411183874,9.456919588816103
110,DGP 1: No investor communication,0,Fulfilled,9.138125000000025,1.3722566486609464,6.448501968624571,11.82774803137548
110,DGP 2: Investor communication,1,Violated,8.125625000000012,1.7338514402880265,4.727276177035479,11.523973822964544
111,DGP 1: No investor communication,0,Fulfilled,8.197500000000016,1.3366589520251708,5.577648454030681,10.81735154596935
111,DGP 2: Investor communication,1,Violated,10.08125000000001,1.6983089344493743,6.752564488479236,13.409935511520782
112,DGP 1: No investor communication,0,Fulfilled,8.612500000000027,1.3452015944942346,5.975904874791327,11.249095125208727
112,DGP 2: Investor communication,1,Violated,10.252499999999966,1.7220830184012685,6.877217283933479,13.627782716066452
113,DGP 1: No investor communication,0,Fulfilled,10.245624999999995,1.3686125341483628,7.563144433069204,12.928105566930785
113,DGP 2: Investor communication,1,Violated,8.85687500000003,1.7527182827826813,5.4215471657459755,12.292202834254086
114,DGP 1: No investor communication,0,Fulfilled,7.336875000000004,1.3345298443468119,4.721196505080252,9.952553494919755
114,DGP 2: Investor communication,1,Violated,6.6812500000000075,1.7432980399302846,3.2643858417366496,10.098114158263366
115,DGP 1: No investor communication,0,Fulfilled,8.540625,1.3476781758871952,5.899175775261098,11.182074224738903
115,DGP 2: Investor communication,1,Violated,10.427500000000022,1.7625215462373673,6.972957769374782,13.882042230625261
116,DGP 1: No investor communication,0,Fulfilled,7.065624999999998,1.3598183584866974,4.400381017366071,9.730868982633925
116,DGP 2: Investor communication,1,Violated,9.889375000000012,1.713252301525678,6.531400489009683,13.24734951099034
117,DGP 1: No investor communication,0,Fulfilled,11.951875000000006,1.3571125158042103,9.291934469023754,14.611815530976259
117,DGP 2: Investor communication,1,Violated,9.687500000000034,1.7641413618938648,6.229782930688058,13.14521706931201
118,DGP 1: No investor communication,0,Fulfilled,10.297500000000008,1.3279754869326068,7.694668045612099,12.900331954387918
