iter,dgp,e_ii,sutva_status,tau_hat,se_hat,ci_low,ci_high,tau_truth,error,covered
29,DGP 2: Investor communication,1,Violated,9.319374999999997,1.7558641646847923,5.877881237217805,12.76086876278219,8.095625000000034,1.2237499999999635,TRUE
30,DGP 1: No investor communication,0,Fulfilled,6.944374999999995,1.3559570162718475,4.2866992481071735,9.602050751892815,8.906874999999996,-1.9625000000000012,TRUE
30,DGP 2: Investor communication,1,Violated,9.63000000000001,1.7233802071966884,6.2521747938945005,13.007825206105519,8.095625000000034,1.5343749999999758,TRUE
31,DGP 1: No investor communication,0,Fulfilled,9.402500000000009,1.3705011586166302,6.716317729111413,12.088682270888604,8.906874999999996,0.49562500000001286,TRUE
31,DGP 2: Investor communication,1,Violated,8.560624999999996,1.7388497553033149,5.1524794796055,11.968770520394493,8.095625000000034,0.46499999999996255,TRUE
32,DGP 1: No investor communication,0,Fulfilled,9.571249999999994,1.3262195828064496,6.971859617699353,12.170640382300634,8.906874999999996,0.6643749999999979,TRUE
32,DGP 2: Investor communication,1,Violated,8.629374999999996,1.7054450968956494,5.286702610084523,11.972047389915469,8.095625000000034,0.5337499999999622,TRUE
33,DGP 1: No investor communication,0,Fulfilled,6.423750000000007,1.3678998792920718,3.7426662365875467,9.104833763412469,8.906874999999996,-2.4831249999999887,TRUE
33,DGP 2: Investor communication,1,Violated,6.371875000000026,1.6873751468058114,3.064619712260636,9.679130287739415,8.095625000000034,-1.7237500000000079,TRUE
34,DGP 1: No investor communication,0,Fulfilled,9.980000000000002,1.327940142437487,7.377237320822528,12.582762679177478,8.906874999999996,1.0731250000000063,TRUE
34,DGP 2: Investor communication,1,Violated,10.853749999999986,1.714753458194833,7.492833221938113,14.214666778061858,8.095625000000034,2.7581249999999518,TRUE
35,DGP 1: No investor communication,0,Fulfilled,10.882499999999999,1.3486519016393919,8.23914227278679,13.525857727213207,8.906874999999996,1.9756250000000026,TRUE
35,DGP 2: Investor communication,1,Violated,4.4843750000000036,1.7597921030565948,1.035182478009078,7.933567521990929,8.095625000000034,-3.6112500000000303,FALSE
36,DGP 1: No investor communication,0,Fulfilled,10.448125,1.3083147950081473,7.88382800178403,13.012421998215968,8.906874999999996,1.5412500000000033,TRUE
36,DGP 2: Investor communication,1,Violated,7.903125000000001,1.713106917703431,4.545435441301276,11.260814558698726,8.095625000000034,-0.19250000000003276,TRUE
37,DGP 1: No investor communication,0,Fulfilled,11.160000000000004,1.387584658655081,8.440334069036044,13.879665930963963,8.906874999999996,2.253125000000008,TRUE
37,DGP 2: Investor communication,1,Violated,10.183749999999982,1.721349924550564,6.809904147880877,13.557595852119087,8.095625000000034,2.0881249999999483,TRUE
38,DGP 1: No investor communication,0,Fulfilled,11.285625000000001,1.3664382338057475,8.607406061740736,13.963843938259267,8.906874999999996,2.3787500000000055,TRUE
38,DGP 2: Investor communication,1,Violated,10.148749999999996,1.7389851383778434,6.740339128779423,13.55716087122057,8.095625000000034,2.0531249999999623,TRUE
39,DGP 1: No investor communication,0,Fulfilled,8.523125000000004,1.3332436500607474,5.909967445880939,11.136282554119068,8.906874999999996,-0.38374999999999204,TRUE
39,DGP 2: Investor communication,1,Violated,7.437499999999984,1.7133338052911191,4.07936574162939,10.795634258370578,8.095625000000034,-0.6581250000000498,TRUE
40,DGP 1: No investor communication,0,Fulfilled,11.119375000000007,1.3331547363905343,8.50639171667456,13.732358283325453,8.906874999999996,2.212500000000011,TRUE
40,DGP 2: Investor communication,1,Violated,6.249375000000006,1.6882988607701106,2.940309232890589,9.558440767109422,8.095625000000034,-1.846250000000028,TRUE
41,DGP 1: No investor communication,0,Fulfilled,9.66437500000001,1.401370775003323,6.917688280993497,12.411061719006524,8.906874999999996,0.7575000000000145,TRUE
41,DGP 2: Investor communication,1,Violated,5.603125000000002,1.6643091461379085,2.3410790735697016,8.865170926430302,8.095625000000034,-2.4925000000000317,TRUE
42,DGP 1: No investor communication,0,Fulfilled,8.571249999999973,1.374658856920661,5.876918640435477,11.265581359564468,8.906874999999996,-0.3356250000000234,TRUE
42,DGP 2: Investor communication,1,Violated,9.31437500000001,1.7827984566781558,5.820090024910826,12.808659975089196,8.095625000000034,1.218749999999977,TRUE
43,DGP 1: No investor communication,0,Fulfilled,10.045624999999994,1.3654515117270731,7.369340037014931,12.721909962985057,8.906874999999996,1.1387499999999982,TRUE
43,DGP 2: Investor communication,1,Violated,8.29750000000002,1.656587326830423,5.0505888394123915,11.54441116058765,8.095625000000034,0.20187499999998693,TRUE
44,DGP 1: No investor communication,0,Fulfilled,9.868125000000013,1.3285540986736248,7.264158966599709,12.472091033400318,8.906874999999996,0.9612500000000175,TRUE
