timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
0,0,a1,max,0,0,4,26.25,6.25,6.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,3.75,4
0,1,a2,fair,0,0,4,16.25,2.5,-3.75,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,33.75,4
1,0,a1,max,0,0,4,32.5,8.75,12.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,7.5,4
1,1,a2,fair,0,0,4,11.25,3.75,-8.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,48.75,4
2,0,a1,max,0,0,4,27.5,-1.25,7.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,22.5,4
2,1,a2,fair,0,0,4,7.5,-5.0,-12.5,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,82.5,4
3,0,a1,max,0,0,4,17.5,-15.0,-2.5,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,52.5,4
3,1,a2,fair,0,0,4,13.75,-8.75,-6.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,86.25,4
4,0,a1,max,0,0,4,12.5,-13.75,-7.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,67.5,4
4,1,a2,fair,0,0,4,13.75,-13.75,-6.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,86.25,4
5,0,a1,max,0,0,4,12.5,-13.75,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,4
5,1,a2,fair,0,0,4,13.75,-13.75,-6.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,86.25,4
6,0,a1,max,0,0,4,7.5,-18.75,-12.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,82.5,4
6,1,a2,fair,0,0,4,13.75,-18.75,-6.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,86.25,4
7,0,a1,max,0,0,4,7.5,-18.75,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,4
7,1,a2,fair,0,0,4,13.75,-18.75,-6.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,86.25,4
8,0,a1,max,0,0,4,7.5,-18.75,-12.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,82.5,4
8,1,a2,fair,0,0,4,13.75,-18.75,-6.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,86.25,4
