timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,episode
7,max_1,max,0,4,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,120.0,3
8,fair_1,fair,0,4,71.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,31.25,48.75,3
8,max_1,max,0,4,61.25,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,21.25,150.0,3
9,fair_1,fair,0,4,67.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,27.5,52.5,3
9,max_1,max,0,4,57.5,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,17.5,180.0,3
0,fair_1,fair,0,4,47.5,15.0,15.0,45.0,22.5,0.5,7.5,22.5,7.5,22.5,4
0,max_1,max,0,4,47.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,7.5,0.0,4
1,fair_1,fair,0,4,55.0,15.0,15.0,45.0,22.5,0.5,7.5,22.5,15.0,45.0,4
1,max_1,max,0,4,55.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,15.0,0.0,4
2,fair_1,fair,0,4,45.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,5.0,75.0,4
2,max_1,max,0,4,45.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,5.0,0.0,4
3,fair_1,fair,0,4,57.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,17.5,82.5,4
3,max_1,max,0,4,57.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,17.5,0.0,4
4,fair_1,fair,0,4,70.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,30.0,90.0,4
4,max_1,max,0,4,70.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,30.0,0.0,4
5,fair_1,fair,0,4,82.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,42.5,97.5,4
5,max_1,max,0,4,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,0.0,4
6,fair_1,fair,0,4,95.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,55.0,105.0,4
6,max_1,max,0,4,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,4
7,fair_1,fair,0,4,107.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,67.5,112.5,4
7,max_1,max,0,4,107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,0.0,4
8,fair_1,fair,0,4,120.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,80.0,120.0,4
8,max_1,max,0,4,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,4
9,fair_1,fair,0,4,138.75,15.0,15.0,45.0,33.75,0.75,18.75,11.25,98.75,131.25,4
9,max_1,max,0,4,123.75,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,83.75,45.0,4
0,fair_1,fair,0,4,50.0,20.0,20.0,60.0,30.0,0.5,10.0,30.0,10.0,30.0,5
0,max_1,max,0,4,40.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,0.0,30.0,5
1,fair_1,fair,0,4,30.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-10.0,60.0,5
1,max_1,max,0,4,10.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-30.0,90.0,5
2,fair_1,fair,0,4,6.25,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,-33.75,93.75,5
2,max_1,max,0,4,-13.75,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-53.75,150.0,5
3,fair_1,fair,0,4,-1.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-41.25,101.25,5
3,max_1,max,0,4,-21.25,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-61.25,210.0,5
4,fair_1,fair,0,4,3.75,20.0,20.0,60.0,45.0,0.75,25.0,15.0,-36.25,116.25,5
4,max_1,max,0,4,-16.25,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-56.25,270.0,5
5,fair_1,fair,0,4,-10.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-50.0,120.0,5
5,max_1,max,0,4,-30.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-70.0,330.0,5
6,fair_1,fair,0,4,-23.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-63.75,123.75,5
6,max_1,max,0,4,-43.75,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-83.75,390.0,5
7,fair_1,fair,0,4,-37.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-77.5,127.5,5
7,max_1,max,0,4,-57.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-97.5,450.0,5
8,fair_1,fair,0,4,-57.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-97.5,127.5,5
8,max_1,max,0,4,-77.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-117.5,510.0,5
9,fair_1,fair,0,4,-77.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-117.5,127.5,5
9,max_1,max,0,4,-82.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-122.5,525.0,5
0,fair_1,fair,0,4,45.0,10.0,10.0,30.0,15.0,0.5,5.0,15.0,5.0,15.0,6
0,max_1,max,0,4,30.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-10.0,45.0,6
1,fair_1,fair,0,4,37.5,15.0,15.0,45.0,22.5,0.5,7.5,22.5,-2.5,37.5,6
1,max_1,max,0,4,27.5,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-12.5,75.0,6
2,fair_1,fair,0,4,25.0,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,-15.0,60.0,6
2,max_1,max,0,4,20.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-20.0,90.0,6
3,fair_1,fair,0,4,32.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-7.5,67.5,6
3,max_1,max,0,4,27.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-12.5,105.0,6
4,fair_1,fair,0,4,33.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-6.25,71.25,6
4,max_1,max,0,4,23.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-16.25,135.0,6
5,fair_1,fair,0,4,48.75,20.0,20.0,60.0,45.0,0.75,25.0,15.0,8.75,86.25,6
5,max_1,max,0,4,38.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-1.25,165.0,6
6,fair_1,fair,0,4,38.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-1.25,86.25,6
6,max_1,max,0,4,28.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-11.25,195.0,6
7,fair_1,fair,0,4,28.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-11.25,86.25,6
7,max_1,max,0,4,23.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-16.25,210.0,6
8,fair_1,fair,0,4,36.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-3.75,93.75,6
8,max_1,max,0,4,36.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,210.0,6
9,fair_1,fair,0,4,55.0,15.0,15.0,45.0,33.75,0.75,18.75,11.25,15.0,105.0,6
9,max_1,max,0,4,45.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,5.0,240.0,6
0,fair_1,fair,0,4,45.0,10.0,10.0,30.0,15.0,0.5,5.0,15.0,5.0,15.0,7
0,max_1,max,0,4,45.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,5.0,0.0,7
1,fair_1,fair,0,4,43.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,3.75,26.25,7
1,max_1,max,0,4,42.5,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,2.5,11.25,7
2,fair_1,fair,0,4,41.25,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,1.25,37.5,7
2,max_1,max,0,4,36.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-3.75,26.25,7
3,fair_1,fair,0,4,35.0,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,-5.0,48.75,7
3,max_1,max,0,4,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,26.25,7
4,fair_1,fair,0,4,35.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-5.0,48.75,7
4,max_1,max,0,4,25.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-15.0,56.25,7
5,fair_1,fair,0,4,25.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-15.0,48.75,7
5,max_1,max,0,4,20.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-20.0,71.25,7
6,fair_1,fair,0,4,32.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-7.5,56.25,7
6,max_1,max,0,4,22.5,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-17.5,101.25,7
7,fair_1,fair,0,4,35.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-5.0,63.75,7
7,max_1,max,0,4,30.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-10.0,116.25,7
8,fair_1,fair,0,4,55.0,20.0,20.0,60.0,45.0,0.75,25.0,15.0,15.0,78.75,7
8,max_1,max,0,4,45.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,5.0,146.25,7
9,fair_1,fair,0,4,51.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,11.25,82.5,7
9,max_1,max,0,4,46.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,6.25,161.25,7
0,fair_1,fair,0,4,50.0,20.0,20.0,60.0,30.0,0.5,10.0,30.0,10.0,30.0,8
0,max_1,max,0,4,35.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-5.0,45.0,8
1,fair_1,fair,0,4,45.0,20.0,20.0,60.0,30.0,0.5,10.0,30.0,5.0,60.0,8
1,max_1,max,0,4,25.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-15.0,105.0,8
2,fair_1,fair,0,4,5.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-35.0,120.0,8
2,max_1,max,0,4,-15.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-55.0,165.0,8
3,fair_1,fair,0,4,-15.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-55.0,120.0,8
3,max_1,max,0,4,-35.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-75.0,225.0,8
4,fair_1,fair,0,4,-35.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-75.0,120.0,8
4,max_1,max,0,4,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,225.0,8
5,fair_1,fair,0,4,-28.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-68.75,123.75,8
5,max_1,max,0,4,-38.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-78.75,255.0,8
6,fair_1,fair,0,4,-26.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-66.25,131.25,8
6,max_1,max,0,4,-26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.25,255.0,8
7,fair_1,fair,0,4,-26.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-66.25,131.25,8
7,max_1,max,0,4,-26.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.25,255.0,8
8,fair_1,fair,0,4,-20.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-60.0,135.0,8
8,max_1,max,0,4,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,255.0,8
9,fair_1,fair,0,4,-20.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-60.0,135.0,8
9,max_1,max,0,4,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,255.0,8
0,fair_1,fair,0,4,40.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,9
0,max_1,max,0,4,25.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-15.0,45.0,9
1,fair_1,fair,0,4,25.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-15.0,0.0,9
1,max_1,max,0,4,15.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-25.0,75.0,9
2,fair_1,fair,0,4,17.5,5.0,5.0,15.0,7.5,0.5,2.5,7.5,-22.5,7.5,9
2,max_1,max,0,4,12.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-27.5,90.0,9
3,fair_1,fair,0,4,12.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-27.5,7.5,9
3,max_1,max,0,4,2.5,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-37.5,120.0,9
4,fair_1,fair,0,4,2.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-37.5,7.5,9
4,max_1,max,0,4,-12.5,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-52.5,165.0,9
5,fair_1,fair,0,4,-12.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-52.5,7.5,9
5,max_1,max,0,4,-32.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-72.5,225.0,9
6,fair_1,fair,0,4,-32.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-72.5,7.5,9
6,max_1,max,0,4,-52.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-92.5,285.0,9
7,fair_1,fair,0,4,-52.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-92.5,7.5,9
7,max_1,max,0,4,-72.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-112.5,345.0,9
8,fair_1,fair,0,4,-72.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,-112.5,7.5,9
8,max_1,max,0,4,-92.5,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-132.5,405.0,9
9,fair_1,fair,0,4,-86.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-126.25,11.25,9
9,max_1,max,0,4,-101.25,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-141.25,450.0,9
0,fair_1,fair,0,4,45.0,10.0,10.0,30.0,15.0,0.5,5.0,15.0,5.0,15.0,10
0,max_1,max,0,4,25.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-15.0,60.0,10
